Tenor;Date;Par Spread;Full Prob.;Upfront
6M;d‚c 20, 2019;7381,19;45,72;0
1Y;juin 20, 2020;7565,27;68,35;0
2Y;juin 20, 2021;6787,17;82,82;0
3Y;juin 20, 2022;6299,53;88,59;0
4Y;juin 20, 2023;6076,61;92,77;0
5Y;juin 20, 2024;5889,79;94,65;0
7Y;juin 20, 2026;5591,31;96,14;0
10Y;juin 20, 2029;5285,82;97,07;0
20Y;juin 20, 2039;4862,59;98,82;0
30Y;juin 20, 2049;4747,85;99,52;0
