Tenor;Date;Par Spread;Full Prob.;Upfront
6M;d‚c 20, 2019;60,91;0,63;0
1Y;juin 20, 2020;64,64;1,21;0
2Y;juin 20, 2021;71,42;2,52;0
3Y;juin 20, 2022;76,76;3,97;0
4Y;juin 20, 2023;80,62;5,46;0
5Y;juin 20, 2024;83,32;6,97;0
7Y;juin 20, 2026;87,23;10;0
10Y;juin 20, 2029;90,5;14,41;0
20Y;juin 20, 2039;94,07;27,56;0
30Y;juin 20, 2049;97,05;39,46;0
