Tenor;Date;Par Spread;Full Prob.;Upfront
6M;d‚c 20, 2019;4,76;0,05;0
1Y;juin 20, 2020;6,56;0,12;0
2Y;juin 20, 2021;10,96;0,38;0
3Y;juin 20, 2022;15,74;0,8;0
4Y;juin 20, 2023;21,75;1,46;0
5Y;juin 20, 2024;27,47;2,29;0
7Y;juin 20, 2026;37,28;4,29;0
10Y;juin 20, 2029;45,99;7,45;0
20Y;juin 20, 2039;50,45;15,54;0
30Y;juin 20, 2049;51,64;22,79;0
